name&Address,email,telephoneNo,ageRange,cqcRegisteredFor,provideNursing,capacity,postCode,careHomeName,latitude,longitude,formattedAddress,addressValidation
"Brambles Rest Home,69-70 Vicarage Road,Amblecote,Stourbridge,DY8 4JA",info@thebramblescarehome.co.uk,1384379034.0,Ages 50+,"Dementia ,Old Age ,Physical Disability ,Younger Adults",No,35.0,DY8 4JA,Brambles Rest Home ,52.4640969,-2.1634361,"Brambles Rest Home, 69-70 Vicarage Road, Amblecote, Stourbridge DY8 4JA, UK",Passed
"Broadway Halls,The Broadway,Dudley,DY1 3EA",broadwayhalls.administrator@brighterkind.com,1384215190.0,Ages 65+,"Dementia ,Old Age ,Physical Disability",Yes,83.0,DY1 3EA,Broadway Halls ,52.5173892,-2.0934515,"Broadway Halls, The Broadway, Dudley DY1 3EA, UK",Passed
"Camelot Rest Home,152 Stourbridge Road,Holy Hall,Dudley,DY1 2ER",cam152@hotmail.co.uk,1384214290.0,Ages 18+,"Dementia ,Old Age",No,33.0,DY1 2ER,Camelot Rest Home ,52.5013702,-2.1077946,"Camelot Rest Home, 152 Stourbridge Road, Dudley DY1 2ER, UK",Passed
"Castle View,6 Priory Road,Dudley,DY1 4AD",goldenseniorcare@outlook.com,1384253426.0,Ages 18+,"Dementia ,Old Age",No,13.0,DY1 4AD,Castle View ,52.5131136,-2.0846342,"Castle View, 6 Priory Road, Dudley DY1 4AD, UK",Passed
"Castlewellan House,41 Moss Grove,Kingswinford,DY6 9HP",admin@horizontc.com,1384298321.0,Ages 65+,Old Age,No,18.0,DY6 9HP,Castlewellan House ,52.5000724,-2.1696495,"Castlewellan House, 41 Moss Grove, Kingswinford DY6 9HP, UK",Passed
"48 Cedar Road,(Voyage),Dudley, ,DY1 4HW",48CedarRoad@voyagecare.com,1384241877.0,Under 65,"Learning Disability ,Mental Health Condition ,Physical Disabilities ,Sensory Impairment ,Substance Misuse ,Younger Adults",No,9.0,DY1 4HW,48 Cedar Road ,52.5201715,-2.0923618,"48 Cedar Road, Voyage DY1 4HW, UK",Passed
"Cedars (The),20-22 Redlake Road,Pedmore,Stourbridge,DY9 0SA",thecedars22@hotmail.com,1562882299.0,"Ages 65+ 
No 
Smoking","Dementia ,Old Age",No,22.0,DY9 0SA,Cedars (The) ,52.4390698,-2.1381151,"The),20, 22 Redlake Road, Pedmore, Cedars DY9 0SA, UK",Passed
"Comberton (The),2 King William Street,Amblecote,Stourbridge,DY8 4EP",comberton@astleycarehomes.co.uk,1384262027.0,Ages 18+,"Dementia ,Old Age ,Physical Disability ,Younger Adults",Yes,36.0,DY8 4EP,Comberton (The) ,52.4722402,-2.1455023,"Comberton, The),2, King William Street, Amblecote, Stourbridge DY8 4EP, UK",Passed
"Edmore House,20 Oakham Road,Dudley,DY2 7TB",ann117@btinternet.com,1384255149.0,Ages 65+,Old Age,No,18.0,DY2 7TB,Edmore House ,52.5034974,-2.0725777,"Edmore House, 20 Oakham Road, Dudley DY2 7TB, UK",Passed
"Eve House,(Alphonsus),58a Albert Street,Pensnett,Brierley Hill,DY5 4HW",evehouse@alphonsusservices.co.uk,1384482728.0,18+,"Learning Disability ,Mental Health Condition ,Physical Disability ,Younger Adults",No,5.0,DY5 4HW,Eve House ,52.4981289,-2.1235887,"Eve House, 58a Albert Street, Pensnett, Alphonsus DY5 4HW, UK",Passed
"Gower Gardens,Kent Road,Halesowen,B62 8PQ",gowergardens.business@kingsleyhealthcare.co.uk,1212893965.0,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,66.0,B62 8PQ,Gower Gardens ,52.4594211,-2.0252075,"Gower Gardens, Kent Road, Halesowen B62 8PQ, UK",Passed
"Grazebrook Homes,37-39 Adshead Road,Dudley,DY2 8SS",grazebrook@trustedhands. co.uk,1384240502.0,18-65,"Dementia ,Learning Disability ,Physical Disability ,Sensory Impairment",No,9.0,DY2 8SS,Grazebrook Homes ,52.5022664,-2.0819809,"Grazebrook Homes, 37-39 Adshead Road, Dudley DY2 8SS, UK",Passed
"Grazebrook Homes,49-51 Adshead Road,Dudley,DY2 8SS",grazebrook@trustedhands. co.uk,1384255171.0,18-65,"Dementia ,Learning Disability ,Physical Disability ,Sensory Impairment",No,9.0,DY2 8SS,Grazebrook Homes ,52.5027945,-2.081656,"Grazebrook Homes, 49-51 Adshead Road, Dudley DY2 8SS, UK",Passed
"Greenleigh,219 Wolverhampton,Road,Sedgley,DY3 1QR",greenleigh@select-group.co.uk,1902664023.0,Ages 65+,"Dementia ,Old Age ,Physical Disability",No,35.0,DY3 1QR,Greenleigh ,52.5547684,-2.1247349,"Greenleigh, 219 Wolverhampton Road, Sedgley, Dudley DY3 1QR, UK",Passed
"Halas Homes,Wassell Road,Hasbury,Halesowen,B63 4JX",info@halashomes.co.uk,1215508778.0,18+,Learning Disability,No,30.0,B63 4JX,Halas Homes ,52.4445376,-2.0661238,"Halas Homes, Wassell Road, Hasbury, Halesowen B63 4JX, UK",Passed
"Highbury House,Mental Health Unit,Parkfield Road,Stourbridge,DY8 1HB",highbury.house@rushcliffecare.co.uk,1384354455.0,Ages 18+,"Detention Under Mental ,Health Act ,Learning Disability ,Mental Health Condition ,Old Age ,Sensory Impairment ,Substance Misuse ,Younger Adults","Yes 
ADULT 
MENTAL 
HEALTH 
UNIT 
ONLY",21.0,DY8 1HB,Highbury House ,52.4549464,-2.1409078,"Mental Health Unit, Highbury House, Parkfield Road, Stourbridge DY8 1HB, UK",Passed
"Highfield Residential,Home,Stream Road,Kingswinford,DY6 9PB",info@highfieldres.onmicrosoft.com,1384288870.0,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,13.0,DY6 9PB,Highfield Residential ,52.4886606,-2.1636741,"Highfield Residential,Home, Stream Road, Kingswinford DY6 9PB, UK",Passed
"Highview ,12 Priory Road,Dudlley,DY1 4AD",highview.home12@gmail.com,1384258502.0,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,23.0,DY1 4AD,Highview  ,52.5138519,-2.0854879,"Highview, 12 Priory Road, Dudley DY1 4AD, UK",Passed
"Hillcroft Nursing,Home,135 High Street,Wordsley,Stourbridge,DY8 5QS",hillcroft@astleycarehomes.co.uk,1384271317.0,Ages 60+,"Dementia ,Learning Disability ,No Medical Intervention ,Old Age ,Physician Disability ,Younger Adults",Yes,28.0,DY8 5QS,Hillcroft Nursing ,52.4831096,-2.1620346,"Hillcroft Nursing,Home, 135 High Street, Wordsley, Stourbridge DY8 5QS, UK",Passed
"Himley Manor,133 Himley Road,Dudley,DY1 2QF",manager@himleymanor.com,1384238588.0,Ages 65+,"Dementia ,Eating Disorders ,Old Age ,Physical Disability ,Sensory Impairment",No,51.0,DY1 2QF,Himley Manor ,52.5218758,-2.1661565,"Himley Manor, 133 Himley Road, Dudley DY1 2QF, UK",Passed
"Holly Hall,170 Stourbridge Road,Dudley,DY1 2ER",hollyhall@select-group.co.uk,1384252219.0,,,,,DY1 2ER,Holly Hall ,52.5008792,-2.1089934,"Holly Hall, 170 Stourbridge Road, Dudley DY1 2ER, UK",Passed
"Holly Lodge,9 Rectory Road,Oldswinford,Stourbridge,DY8 2HA",Info@hollylodgecarehome.co.uk,1384373306.0,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,23.0,DY8 2HA,Holly Lodge ,52.4465598,-2.1387855,"Holly Lodge, 9 Rectory Road, Oldswinford, Stourbridge DY8 2HA, UK",Passed
"Hollybush House ,John Corbett Drive,Off Vicarage Road,Stourbridge,DY8 4HZ",hollybush.house@shaw.co.uk,1384442782.0,Ages 65+,"Dementia ,Old Age","Yes 
(NHS 
Only)",24.0,DY8 4HZ,Hollybush House  ,52.4648621,-2.1494713,"Hollybush House, Off John Corbett Drive, Vicarage Road, Stourbridge DY8 4HZ, UK",Passed
"Hollycroft Nursing,Home,8-10 Redhill,Stourbridge,DY8 1ND",manager@hollycroftcare.co.uk,1384394341.0,Ages 65+,"Dementia ,No Medical Intervention ,Old Age ,Physical Disability ,Sensory Impairment",Yes,37.0,DY8 1ND,Hollycroft Nursing ,52.452208,-2.1397597,"Hollycroft Rest Home, 8-10 Red Hill, Stourbridge DY8 1ND, UK",Passed
"Island Court,55 Bourne Street,Woodsetton,Dudley,WV14 9HN",islandcourtmanager@select-group.co.uk,1902886300.0,65+,"Dementia ,Physical Disabilities ,Sensory Impairments",Yes,55.0,WV14 9HN,Island Court ,52.5389487,-2.1013487,"Island Court, 55 Bourne Street, Woodsetton, Dudley WV14 9HN, UK",Passed
"Inshore Support,27 Highfield Road,Halesowen,B63 2DH",Ruth@inshoresupportltd.co.uk,1384410581.0,Not Stated,"Learning Disability ,Mental Health Condition",No,3.0,B63 2DH,Inshore Support ,52.4584205,-2.0807656,"Inshore Support, 27 Highfield Road, Halesowen B63 2DH, UK",Passed
"Inshore Support,10 Melbourne Road,Halesowen,B63 2NB",rachealpace@inshoresupportltd.co.uk,1215013389.0,Not Stated,Learning Disability,No,3.0,B63 2NB,Inshore Support ,52.4554191,-2.0497408,"Inshore Support, 10 Melbourne Road, Halesowen B63 2NB, UK",Passed
"Jubilee Court,Central Drive,Coseley,WV14 9EJ",jubileecourt@select-group.co.uk,1902883426.0,Under 65,"Learning Disability ,Mental Health Condition ,Physical Disability ,Sensory Impairment",Yes,30.0,WV14 9EJ,Jubilee Court ,52.5384124,-2.0838899,"Jubilee Court, Central Drive, Coseley WV14 9EJ, UK",Passed
"Kathleen House,(Alphonsus),59-61 Addiison Road,Brierley Hill,DY5 3RR",kathleenhouse@alphonsusservices.co.uk,138470187.0,Not Stated,"Learning Disabilities ,Physical Disability",No,15.0,DY5 3RR,Kathleen House ,52.4784159,-2.1380927,"Kathleen House, 59-61, Addison Road, Alphonsus DY5 3RR, UK",Passed
"Kiniths House,33 Kiniths Way,Halesowen,B62 9HJ",enquiries@kinithshouse.co.uk,1215597091.0,18+,Learning Disability,No,15.0,B62 9HJ,Kiniths House ,52.4724076,-2.0280714,"Kiniths House, 33 Kiniths Way, Halesowen B62 9HJ, UK",Passed
"Lapal House,Lapal Lane South,Halesowen,B62 0ES",admin@lapalhouse.co.uk,1215030326.0,65+,"Old Age ,Physical Disability",No,41.0,B62 0ES,Lapal House ,52.4452949,-2.0228768,"Lapal House, Lapal Lane South, Halesowen B62 0ES, UK",Passed
"Links (The),252 The Broadway,Dudley,DY1 3DN",TheLinks.Manager@shaw.co.uk,1384459651.0,18+,"Learning Disability ,Mental Health Condition",No,5.0,DY1 3DN,Links (The) ,52.5216673,-2.1034253,"Links (The, 252 The Broadway, Dudley DY1 3DN, UK",Passed
"Micron House,41 Halesowen Road,Netherton,Dudley,DY2 9QD",steph@activecareservices.co.uk,1384230504.0,65+,"Dementia ,Old Age",No,10.0,DY2 9QD,Micron House ,52.4920653,-2.0833115,"Micron House, 41 Halesowen Road, Netherton, Dudley DY2 9QD, UK",Passed
"Mount (The),226 Brettell Lane,Ambecote,Stourbridge,DY8 4BQ",themount226@hotmail.com,1384265955.0,Ages 18+,"Dementia ,Old Age",No,18.0,DY8 4BQ,Mount (The) ,52.472836,-2.1453877,"Mount (The, 226 Brettell Lane, Amblecote, Stourbridge DY8 4BQ, UK",Passed
"Nelson House,1-3 Nelson Road,Dudley,DY1 2AG",stephen.kular@nhs.net,1384237717.0,Ages 65+,"Dementia ,Old Age",No,21.0,DY1 2AG,Nelson House ,52.510849,-2.0941484,"Nelson House, 1-3 Nelson Road, Dudley DY1 2AG, UK",Passed
"Netherton Green,Nursing Home,Bowling Green Road,Netherton,Dudley,DY2 9LY",homemanager.nethertongreen@advinia.co.uk,1384410120.0,Ages 60+,"Dementia ,Old Age ,Physical Disability",Yes,120.0,DY2 9LY,Netherton Green ,52.4827223,-2.0763751,"Netherton Green Nursing Home, Bowling Green Road, Netherton, Dudley DY2 9LY, UK",Passed
"New Bradley Hall,Compton Drive,Off Stream Road,Kingswinford,DY6 9NP",newbradleyhall@bchg.co.uk  01384,,Ages 18+,"Dementia ,Old Age",No,66.0,DY6 9NP,New Bradley Hall ,52.4926408,-2.1689694,"New Bradley Hall, Off Compton Drive, Stream Road, Kingswinford DY6 9NP, UK",Passed
"Norton Lodge,142 Norton Road,Stourbridge,DY8 2TA",nischapritchard@yahoo.com,1384376666.0,Ages 65+,"Old Age ,Physical Disability",No,18.0,DY8 2TA,Norton Lodge ,52.444312,-2.1591907,"Norton Lodge, 142 Norton Road, Stourbridge DY8 2TA, UK",Passed
"Oak House,(Jut us Care),36 Oak Street,Central Drive,Netherton,DY2 9LJ",justuscareltd@gmail.com,1384413622.0,18+,"Dementia ,Eating Disorders ,Learning Disability ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,4.0,DY2 9LJ,Oak House ,52.4864381,-2.0706514,"us Care, Oak House, 36 Oak Street, Central Drive, Netherton, Jut DY2 9LJ, UK",Passed
"Oaklands,Wartell Bank,Kingswinford,DY6 7QJ",dpsahni@hotmail.co.uk,1384291070.0,Ages 50+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability",Yes,40.0,DY6 7QJ,Oaklands ,52.5005194,-2.1652353,"Oaklands, Wartell Bank, Kingswinford DY6 7QJ, UK",Passed
"Oakleigh Lodge,158-160 Stourbridge,Road,Dudley,DY1 2ER",admin@oakleigh-healthcare.co.uk,1384232482.0,18-65,"Learning Disability ,Mental Health Condition ,Physical Disability ,Sensory Impairment ,Younger Adults",No,19.0,DY1 2ER,Oakleigh Lodge ,52.5011698,-2.1082741,"Oakleigh Lodge, 158-160 Stourbridge Road, Dudley DY1 2ER, UK",Passed
"Oriel Care Home,87 Hagley Road,Stoubridge,DY8 1QY",info@orielcare.co.uk,1384375867.0,"Mobile 
with one 
carer  
Ages 65+","Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,29.0,DY8 1QY,Oriel Care Home ,52.451394,-2.1415919,"Oriel Care Home, 87 Hagley Road, Stourbridge, Dudley DY8 1QY, UK",Passed
"Park Lane House,163 Tipton Road,Woodsetton,Dudley,DY3 1AB",parklanehome@outlook.com,1902884967.0,Ages 60+,"Dementia ,Old Age",No,30.0,DY3 1AB,Park Lane House ,52.5353473,-2.1038929,"Park Lane House, 163 Tipton Road, Woodsetton, Dudley DY3 1AB, UK",Passed
"Parkfield Grange ,(Stourbridge Care,Limited),31 Hagley Road,Stourbridge,DY8 1QH",parkfield.admin@cinnamoncc.com,1384470358.0,Ages 60+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults ,Alzheimer's ,Multiple Sclerosis ,Parkinson's Disease, Stroke",No,80.0,DY8 1QH,Parkfield Grange  ,52.4529374,-2.1425103,"Care,Limited, Parkfield Grange, 31 Hagley Road, Stourbridge DY8 1QH, UK",Passed
"Pathways Care Group,44 Sedgley Road,Woodsetton,Dudley,DY1 4NG",enquiries@pathways4care.co.uk,1902887630.0,18+,"Learning Disability ,Old Age ,Physical Disability ,Younger Adults",No,5.0,DY1 4NG,Pathways Care Group ,52.5322452,-2.0887308,"Pathways Care Group, 44 Sedgley Road, Woodsetton, Dudley DY1 4NG, UK",Passed
"Redbrick Court,54 High Street,Wordsley,Stourbridge,DY8 5SD",admin@sclcare.co.uk,1384485444.0,Ages 60+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,37.0,DY8 5SD,Redbrick Court ,52.4771022,-2.1590066,"Redbrick Court, 54 High Street, Wordsley, Stourbridge DY8 5SD, UK",Passed
"Richmond Court,16 St James’s Road,Dudley,DY1 3JD",richmondcourtdudley@outlook.com,1384254442.0,"Ages from 
50 – 150","Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,21.0,DY1 3JD,Richmond Court ,52.5125797,-2.0897187,"Richmond Court, 16 Saint James's Road, Dudley DY1 3JD, UK",Passed
"Ridgeway Court,2-4 Dudley Road,Sedgley,DY3 1SX",manager@ridgewaycares.co.uk,1902883130.0,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,39.0,DY3 1SX,Ridgeway Court ,52.535875,-2.1194096,"Ridgeway Court, 2-4, Dudley Road, Sedgley, Dudley DY3 1SX, UK",Passed
"Riverside Care,(Kingswinford) Ltd,Wolverhampton Road,Wall Heath,Kingswinford,DY6 7DA",HM@riversidecarecentre.co.uk,1384404233.0,18+,"Dementia ,Mental Health Condition ,Physical Disability ,Sensory Impairment ,Younger Adults",No,24.0,DY6 7DA,Riverside Care ,52.5105364,-2.1733881,"Riverside Care, Ltd, Wolverhampton Road, Wall Heath, Kingswinford DY6 7DA, UK",Passed
"Rosewood Care Home,139-143 High Street,Pensnett,Brierley Hill,DY5 4EA",manager@rosewoodcarehome.com,138477441.0,Ages 55+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,43.0,DY5 4EA,Rosewood Care Home ,52.50083,-2.1333218,"Rosewood Care Home, 139-143 High Street, Pensnett, Brierley Hill DY5 4EA, UK",Passed
"Russell Court,Overfield Road,Dudley,DY1 2NY",manager@russell-court.com  0744 220,,Ages 50+  ,"Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults, Dementia",Yes,42.0,DY1 2NY,Russell Court ,52.5065248,-2.1169452,"Russell Court, Overfield Road, Dudley DY1 2NY, UK",Passed
"Safe Harbour,254 Hagley Road,Stourbridge,DY9 0RW",admin@safeharbourcare.co.uk,1562888125.0,"Not 
Stated",Learning Disability,No,6.0,DY9 0RW,Safe Harbour ,52.4405351,-2.1347666,"Safe Harbour, 254 Hagley Road, Stourbridge DY9 0RW, UK",Passed
"Safe Harbour,260 Hagley Road,Stourbridge,DY9 0RW",clientadmin@safeharbourcare.com,1384885018.0,"Not 
Stated",Learning Disability,No,4.0,DY9 0RW,Safe Harbour ,52.4403037,-2.134452,"Safe Harbour, 260 Hagley Road, Stourbridge DY9 0RW, UK",Passed
"Stoneleigh House,166-168 Stourbridge,Road,Dudley,DY1 2ER",stoneleigh_house@hotmail.com,1384235590.0,65+,"Dementia ,Learning Disability ,Mental Health Condition ,Old Age ,Physical Disability",No,24.0,DY1 2ER,Stoneleigh House ,52.5013582,-2.1078425,"Stoneleigh House, 166-168 Stourbridge Road, Dudley DY1 2ER, UK",Passed
"Swiss House,41-43 Brierley Hill,Road,Wordsley,Stourbridge,DY8 5SJ",swiss.house@select-group.co.uk,1384573110.0,"Not 
Stated","Learning Disability ,Physical Disability ,Younger Adults",No,10.0,DY8 5SJ,Swiss House ,52.4789947,-2.1555139,"Swiss House, 41-43 Brierley Hill Road, Wordsley, Stourbridge DY8 5SJ, UK",Passed
"Tudor Manor,2 Brook Street,Stourbridge,DY8 3XF",regmanager1@yahoo.com,1384379165.0,Ages 60+  ,"Old Age ,Physical Disability, Dementia",No,22.0,DY8 3XF,Tudor Manor ,52.4550713,-2.1533759,"Tudor Manor, 2 Brook Street, Stourbridge DY8 3XF, UK",Passed
"Two Gates House,40-44 Two Gates Lane,Colley Gate,Halesowen,B83 2LJ",max_wellington@outlook.com,1384567448.0,Ages 65+  ,"Old Age ,Physical Disability ,Sensory Impairment, Dementia",No,32.0,B83 2LJ,Two Gates House ,52.4572082,-2.0846093,"Two Gates House, 40-44 Two Gates Lane, Colley Gate, Halesowen B83 2LJ, UK",Passed
"Victoria Lodge,Bent Street,Brierley Hill,DY5 2RB",victoriamanager@select-group.co.uk,1384572567.0,Ages 65+  ,"Old Age ,Sensory Impairment, Dementia",No,63.0,DY5 2RB,Victoria Lodge ,52.4861802,-2.1223276,"Victoria Lodge, Bent Street, Brierley Hill DY5 2RB, UK",Passed
"Village Nursing Home,(The),190 Commonside,Brierley Hill,DY5 4AA",kerryjackson@thevillagenursinghome.co.uk,1384884499.0,Ages 50+  ,"Mental Health Condition ,Old Age ,Physical Disability ,Younger Adults, Dementia",Yes,90.0,DY5 4AA,Village Nursing Home ,52.4918908,-2.1329626,"Village Nursing Home, The),190 Commonside, Brierley Hill DY5 4AA, UK",Passed
"Woodlands Gate Rest,Home,12 Dingle Road,Pedmore ,Stourbridge,DY9 0RS",woodlands@sclcare.co.uk,1562885546.0,Ages 60+  ,"Old Age ,Physical Disability ,Sensory Impairment, Dementia",No,20.0,DY9 0RS,Woodlands Gate Rest ,52.4428176,-2.1328892,"Woodlands Gate Rest,Home, 12 Dingle Road, Pedmore, Stourbridge DY9 0RS, UK",Passed
"Woodview House,Nursing Home,Waugh Drive,Hagley Road,Hayley Green,Haleowen,B63 1EN",woodview@shaw.co.uk,1215856440.0,Ages 65+  ,"C,Mental Health Condition ,Old Age ,CG Commissioned Placements ,ONLY, Dementia",Yes,24.0,B63 1EN,Woodview House ,52.4351418,-2.0802546,"Woodview House, Nursing Home, Waugh Drive, Hagley Road, Hayley Green, Halesowen, Dudley B63 1EN, UK",Passed
"Wordsley Hall,Mill Street,Wordsley,Stourbridge,DY8 5SX",manager.wordsleyhall@minstercaregroup.co.uk,1384571606.0,Ages 65+  ,"Old Age, Dementia",No,41.0,DY8 5SX,Wordsley Hall ,52.4781156,-2.1567574,"Wordsley Hall, Mill Street, Wordsley, Stourbridge DY8 5SX, UK",Passed
"Wychbury Care Home,350-352 Hagley Road,Pedmore,Stourbridge,DY9 0QY",daniel@wychcare.com,1562885106.0,Ages 65+  ,", Old Age",No,42.0,DY9 0QY,Wychbury Care Home ,52.4326905,-2.1307997,"Wychbury Care Home, 350-352 Hagley Road, Pedmore, Stourbridge DY9 0QY, UK",Passed
"Wyncroft House,16 Moss Grove,Kingswinford,DY6 9HU",manager@wyncrofthouse.co.uk,1384291688.0,Ages 65+  ,"Old Age, Dementia",Yes,38.0,DY6 9HU,Wyncroft House ,52.4987471,-2.1692148,"Wyncroft House, 16 Moss Grove, Kingswinford DY6 9HU, UK",Passed
