Name & Address,Email,Telephone No,Age Range,CQC Registered For,"Provide 
Nursing",Capacity,Post Code,Care Home Name,Min Age,Max Age,Coordinates,Latitude,Longitude
Inshore Support 27 Highfield Road Halesowen B63 2DH,"Ruth@inshoresupportltd.co.
uk",01384 410581,Not Stated,"Learning Disability 
Mental Health Condition",No,3.0,B63 2DH,Inshore Support ,,,"[52.4583393, -2.0807963]",52.4583393,-2.0807963
Inshore Support 10 Melbourne Road Halesowen B63 2NB,"rachealpace@inshoresuppo
rtltd.co.uk",0121 501 3389,Not Stated,Learning Disability,No,3.0,B63 2NB,Inshore Support ,,,"[52.4561525, -2.0496545]",52.4561525,-2.0496545
Jubilee Court Central Drive Coseley WV14 9EJ,"jubileecourt@select-
group.co.uk",01902 883426,Under 65,"Learning Disability 
Mental Health Condition 
Physical Disability 
Sensory Impairment",Yes,30.0,WV14 9EJ,Jubilee Court ,65.0,,"[52.548357, -2.083124]",52.548357,-2.083124
Kathleen House (Alphonsus) 59-61 Addiison Road Brierley Hill DY5 3RR,"kathleenhouse@alphonsuss
ervices.co.uk",01384 70187,Not Stated,"Learning Disabilities 
Physical Disability",No,15.0,DY5 3RR,Kathleen House ,,,"[52.48173, -2.12139]",52.48173,-2.12139
Kiniths House 33 Kiniths Way Halesowen B62 9HJ,"enquiries@kinithshouse.co.
uk",0121 559 7091,18+,Learning Disability,No,15.0,B62 9HJ,Kiniths House ,18.0,,"[52.4730054, -2.0272562]",52.4730054,-2.0272562
Lapal House Lapal Lane South Halesowen B62 0ES,admin@lapalhouse.co.uk,0121 503 0326,65+,"Old Age 
Physical Disability",No,41.0,B62 0ES,Lapal House ,65.0,,"[52.4445543, -2.0226654]",52.4445543,-2.0226654
Links (The) 252 The Broadway Dudley DY1 3DN,"TheLinks.Manager@shaw.c
o.uk",01384 459651,18+,"Learning Disability 
Mental Health Condition",No,5.0,DY1 3DN,Links (The) ,18.0,,"[52.515211, -2.087861]",52.515211,-2.087861
Micron House 41 Halesowen Road Netherton Dudley DY2 9QD,"steph@activecareservices.c
o.uk",01384 230504,65+,"Dementia 
Old Age",No,10.0,DY2 9QD,Micron House ,65.0,,"[52.4921232, -2.0836324]",52.4921232,-2.0836324
Mount (The) 226 Brettell Lane Ambecote Stourbridge DY8 4BQ,"themount226@hotmail.co
m",01384 265955,Ages 18+,"Dementia 
Old Age",No,18.0,DY8 4BQ,Mount (The) ,18.0,,"[52.471036999999995, -2.1544941590377498]",52.471036999999995,-2.1544941590377498
Nelson House 1-3 Nelson Road Dudley DY1 2AG,stephen.kular@nhs.net,01384 237717,Ages 65+,"Dementia 
Old Age",No,21.0,DY1 2AG,Nelson House ,65.0,,"[52.5106726, -2.0943908]",52.5106726,-2.0943908
Netherton Green Nursing Home Bowling Green Road Netherton Dudley DY2 9LY,"homemanager.nethertongr
een@advinia.co.uk",01384 410120,Ages 60+,"Dementia 
Old Age 
Physical Disability",Yes,120.0,DY2 9LY,Netherton Green ,60.0,,"[52.482742, -2.0763456]",52.482742,-2.0763456
New Bradley Hall Compton Drive Off Stream Road Kingswinford DY6 9NP,newbradleyhall@bchg.co.uk  01384 278689,,Ages 18+,"Dementia 
Old Age",No,66.0,DY6 9NP,New Bradley Hall ,18.0,,"[52.49755, -2.16889]",52.49755,-2.16889
Norton Lodge 142 Norton Road Stourbridge DY8 2TA,"nischapritchard@yahoo.co
m",01384 376666,Ages 65+,"Old Age 
Physical Disability",No,18.0,DY8 2TA,Norton Lodge ,65.0,,"[52.4436731, -2.1594272]",52.4436731,-2.1594272
Oak House (Jut us Care) 36 Oak Street Central Drive Netherton DY2 9LJ,justuscareltd@gmail.com,01384 413622,18+,"Dementia 
Eating Disorders 
Learning Disability 
Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults",No,4.0,DY2 9LJ,Oak House ,18.0,,"[52.493425, -2.083401]",52.493425,-2.083401
Oaklands Wartell Bank Kingswinford DY6 7QJ,dpsahni@hotmail.co.uk,01384 291070,Ages 50+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability",Yes,40.0,DY6 7QJ,Oaklands ,50.0,,"[52.5012219, -2.1650633]",52.5012219,-2.1650633
Oakleigh Lodge 158-160 Stourbridge Road Dudley DY1 2ER,"admin@oakleigh-
healthcare.co.uk",01384 232482,18-65,"Learning Disability 
Mental Health Condition 
Physical Disability 
Sensory Impairment 
Younger Adults",No,19.0,DY1 2ER,Oakleigh Lodge ,18.0,65.0,"[52.5028747, -2.1047859]",52.5028747,-2.1047859
Oriel Care Home 87 Hagley Road Stoubridge DY8 1QY,info@orielcare.co.uk,01384 375867,"Mobile 
with one 
carer  
Ages 65+","Dementia 
Old Age 
Physical Disability 
Sensory Impairment",No,29.0,DY8 1QY,Oriel Care Home ,65.0,,"[52.451177, -2.141871]",52.451177,-2.141871
Park Lane House 163 Tipton Road Woodsetton Dudley DY3 1AB,"parklanehome@outlook.co
m",01902 884967,Ages 60+,"Dementia 
Old Age",No,30.0,DY3 1AB,Park Lane House ,60.0,,"[52.5358986, -2.108205]",52.5358986,-2.108205
Parkfield Grange (Stourbridge Care Limited) 31 Hagley Road Stourbridge DY8 1QH,"parkfield.admin@cinnamon
cc.com",01384 470358,Ages 60+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults 
Alzheimer's 
Multiple Sclerosis 
Parkinson's Disease, Stroke",No,80.0,DY8 1QH,Parkfield Grange  ,60.0,,"[52.4529282, -2.14260599108629]",52.4529282,-2.14260599108629
Pathways Care Group 44 Sedgley Road Woodsetton Dudley DY1 4NG,"enquiries@pathways4care.c
o.uk",01902 887630,18+,"Learning Disability 
Old Age 
Physical Disability 
Younger Adults",No,5.0,DY1 4NG,Pathways Care Group ,18.0,,"[52.5318036, -2.0878087]",52.5318036,-2.0878087
Redbrick Court 54 High Street Wordsley Stourbridge DY8 5SD,admin@sclcare.co.uk,01384 485444,Ages 60+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment",No,37.0,DY8 5SD,Redbrick Court ,60.0,,"[52.4777139, -2.1593561]",52.4777139,-2.1593561
Richmond Court 16 St James’s Road Dudley DY1 3JD,"richmondcourtdudley@outloo
k.com",01384 254442,"Ages from 
50 – 150","Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,21.0,DY1 3JD,Richmond Court ,50.0,,"[52.5124201, -2.0905432]",52.5124201,-2.0905432
Ridgeway Court 2-4 Dudley Road Sedgley DY3 1SX,"manager@ridgewaycares.co.
uk",01902 883130,Ages 65+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults",No,39.0,DY3 1SX,Ridgeway Court ,65.0,,"[52.5354323, -2.1190688]",52.5354323,-2.1190688
Riverside Care (Kingswinford) Ltd Wolverhampton Road Wall Heath Kingswinford DY6 7DA,"HM@riversidecarecentre.co
.uk",01384 404233,18+,"Dementia 
Mental Health Condition 
Physical Disability 
Sensory Impairment 
Younger Adults",No,24.0,DY6 7DA,Riverside Care ,18.0,,"[36.196417, -115.170299]",36.196417,-115.170299
Rosewood Care Home 139-143 High Street Pensnett Brierley Hill DY5 4EA,"manager@rosewoodcareho
me.com",01384 77441,Ages 55+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,43.0,DY5 4EA,Rosewood Care Home ,55.0,,"[52.4728913, -2.106248001784807]",52.4728913,-2.106248001784807
Russell Court Overfield Road Dudley DY1 2NY,manager@russell-court.com  0744 220 6657,,Ages 50+  ,"Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults, Dementia",Yes,42.0,DY1 2NY,Russell Court ,50.0,,"[52.5, -2.08333]",52.5,-2.08333
Safe Harbour 254 Hagley Road Stourbridge DY9 0RW,"admin@safeharbourcare.co
.uk",01562 888125,"Not 
Stated",Learning Disability,No,6.0,DY9 0RW,Safe Harbour ,,,"[52.4327421, -2.1301692]",52.4327421,-2.1301692
Safe Harbour 260 Hagley Road Stourbridge DY9 0RW,"clientadmin@safeharbourca
re.com",01384 885018,"Not 
Stated",Learning Disability,No,4.0,DY9 0RW,Safe Harbour ,,,"[52.4327421, -2.1301692]",52.4327421,-2.1301692
Stoneleigh House 166-168 Stourbridge Road Dudley DY1 2ER,"stoneleigh_house@hotmail.
com",01384 235590,65+,"Dementia 
Learning Disability 
Mental Health Condition 
Old Age 
Physical Disability",No,24.0,DY1 2ER,Stoneleigh House ,65.0,,"[52.5028747, -2.1047859]",52.5028747,-2.1047859
Swiss House 41-43 Brierley Hill Road Wordsley Stourbridge DY8 5SJ,"swiss.house@select-
group.co.uk",01384 573110,"Not 
Stated","Learning Disability 
Physical Disability 
Younger Adults",No,10.0,DY8 5SJ,Swiss House ,,,"[52.4787384, -2.1551871]",52.4787384,-2.1551871
Tudor Manor 2 Brook Street Stourbridge DY8 3XF,regmanager1@yahoo.com,01384 379165,Ages 60+  ,"Old Age 
Physical Disability, Dementia",No,22.0,DY8 3XF,Tudor Manor ,60.0,,"[52.4546569, -2.1563455]",52.4546569,-2.1563455
Two Gates House 40-44 Two Gates Lane Colley Gate Halesowen B83 2LJ,"max_wellington@outlook.c
om",01384 567448,Ages 65+  ,"Old Age 
Physical Disability 
Sensory Impairment, Dementia",No,32.0,B83 2LJ,Two Gates House ,65.0,,"[52.44859, -2.04938]",52.44859,-2.04938
Victoria Lodge Bent Street Brierley Hill DY5 2RB,"victoriamanager@select-
group.co.uk",01384 572567,Ages 65+  ,"Old Age 
Sensory Impairment, Dementia",No,63.0,DY5 2RB,Victoria Lodge ,65.0,,"[52.4859273, -2.1231611]",52.4859273,-2.1231611
Village Nursing Home (The) 190 Commonside Brierley Hill DY5 4AA,"kerryjackson@thevillagenur
singhome.co.uk",01384 884499,Ages 50+  ,"Mental Health Condition 
Old Age 
Physical Disability 
Younger Adults, Dementia",Yes,90.0,DY5 4AA,Village Nursing Home ,50.0,,"[52.4930732, -2.1326086]",52.4930732,-2.1326086
Woodlands Gate Rest Home 12 Dingle Road Pedmore Stourbridge DY9 0RS,woodlands@sclcare.co.uk,01562 885546,Ages 60+  ,"Old Age 
Physical Disability 
Sensory Impairment, Dementia",No,20.0,DY9 0RS,Woodlands Gate Rest ,60.0,,"[52.4434178, -2.1320989]",52.4434178,-2.1320989
Woodview House Nursing Home Waugh Drive Hagley Road Hayley Green Haleowen B63 1EN,woodview@shaw.co.uk,0121 585 6440,Ages 65+  ,"C
Mental Health Condition 
Old Age 
CG Commissioned Placements 
ONLY, Dementia",Yes,24.0,B63 1EN,Woodview House ,65.0,,"[52.4356855, -2.0820804]",52.4356855,-2.0820804
Wordsley Hall Mill Street Wordsley Stourbridge DY8 5SX,"manager.wordsleyhall@min
stercaregroup.co.uk",01384 571606,Ages 65+  ,"Old Age, Dementia",No,41.0,DY8 5SX,Wordsley Hall ,65.0,,"[52.4780241, -2.1562237]",52.4780241,-2.1562237
Wychbury Care Home 350-352 Hagley Road Pedmore Stourbridge DY9 0QY,daniel@wychcare.com,01562 885106,Ages 65+  ,", Old Age",No,42.0,DY9 0QY,Wychbury Care Home ,65.0,,"[52.4327421, -2.1301692]",52.4327421,-2.1301692
Wyncroft House 16 Moss Grove Kingswinford DY6 9HU,"manager@wyncrofthouse.c
o.uk",01384 291688,Ages 65+  ,"Old Age, Dementia",Yes,38.0,DY6 9HU,Wyncroft House ,65.0,,"[52.5025546, -2.1702452]",52.5025546,-2.1702452
