name&Address,email,telephoneNo,ageRange,cqcRegisteredFor,provideNursing,capacity,postCode,careHomeName
"Brambles Rest Home,69-70 Vicarage Road,Amblecote,Stourbridge,DY8 4JA",info@thebramblescarehome.co.uk,01384379034,Ages 50+,"Dementia ,Old Age ,Physical Disability ,Younger Adults",No,35,DY8 4JA,Brambles Rest Home 
"Broadway Halls,The Broadway,Dudley,DY1 3EA",broadwayhalls.administrator@brighterkind.com,01384215190,Ages 65+,"Dementia ,Old Age ,Physical Disability",Yes,83,DY1 3EA,Broadway Halls 
"Camelot Rest Home,152 Stourbridge Road,Holy Hall,Dudley,DY1 2ER",cam152@hotmail.co.uk,01384214290,Ages 18+,"Dementia ,Old Age",No,33,DY1 2ER,Camelot Rest Home 
"Castle View,6 Priory Road,Dudley,DY1 4AD",goldenseniorcare@outlook.com,01384253426,Ages 18+,"Dementia ,Old Age",No,13,DY1 4AD,Castle View 
"Castlewellan House,41 Moss Grove,Kingswinford,DY6 9HP",admin@horizontc.com,01384298321,Ages 65+,Old Age,No,18,DY6 9HP,Castlewellan House 
"48 Cedar Road,(Voyage),Dudley, ,DY1 4HW",48CedarRoad@voyagecare.com,01384241877,Under 65,"Learning Disability ,Mental Health Condition ,Physical Disabilities ,Sensory Impairment ,Substance Misuse ,Younger Adults",No,9,DY1 4HW,48 Cedar Road 
"Cedars (The),20-22 Redlake Road,Pedmore,Stourbridge,DY9 0SA",thecedars22@hotmail.com,01562882299,"Ages 65+ 
No 
Smoking","Dementia ,Old Age",No,22,DY9 0SA,Cedars (The) 
"Comberton (The),2 King William Street,Amblecote,Stourbridge,DY8 4EP",comberton@astleycarehomes.co.uk,01384262027,Ages 18+,"Dementia ,Old Age ,Physical Disability ,Younger Adults",Yes,36,DY8 4EP,Comberton (The) 
"Edmore House,20 Oakham Road,Dudley,DY2 7TB",ann117@btinternet.com,01384255149,Ages 65+,Old Age,No,18,DY2 7TB,Edmore House 
"Eve House,(Alphonsus),58a Albert Street,Pensnett,Brierley Hill,DY5 4HW",evehouse@alphonsusservices.co.uk,01384482728,18+,"Learning Disability ,Mental Health Condition ,Physical Disability ,Younger Adults",No,5,DY5 4HW,Eve House 
"Gower Gardens,Kent Road,Halesowen,B62 8PQ",gowergardens.business@kingsleyhealthcare.co.uk,01212893965,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,66,B62 8PQ,Gower Gardens 
"Grazebrook Homes,37-39 Adshead Road,Dudley,DY2 8SS",grazebrook@trustedhands. co.uk,01384240502,18-65,"Dementia ,Learning Disability ,Physical Disability ,Sensory Impairment",No,9,DY2 8SS,Grazebrook Homes 
"Grazebrook Homes,49-51 Adshead Road,Dudley,DY2 8SS",grazebrook@trustedhands. co.uk,01384255171,18-65,"Dementia ,Learning Disability ,Physical Disability ,Sensory Impairment",No,9,DY2 8SS,Grazebrook Homes 
"Greenleigh,219 Wolverhampton,Road,Sedgley,DY3 1QR",greenleigh@select-group.co.uk,01902664023,Ages 65+,"Dementia ,Old Age ,Physical Disability",No,35,DY3 1QR,Greenleigh 
"Halas Homes,Wassell Road,Hasbury,Halesowen,B63 4JX",info@halashomes.co.uk,01215508778,18+,Learning Disability,No,30,B63 4JX,Halas Homes 
"Highbury House,Mental Health Unit,Parkfield Road,Stourbridge,DY8 1HB",highbury.house@rushcliffecare.co.uk,01384354455,Ages 18+,"Detention Under Mental ,Health Act ,Learning Disability ,Mental Health Condition ,Old Age ,Sensory Impairment ,Substance Misuse ,Younger Adults","Yes 
ADULT 
MENTAL 
HEALTH 
UNIT 
ONLY",21,DY8 1HB,Highbury House 
"Highfield Residential,Home,Stream Road,Kingswinford,DY6 9PB",info@highfieldres.onmicrosoft.com,01384288870,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,13,DY6 9PB,Highfield Residential 
"Highview ,12 Priory Road,Dudlley,DY1 4AD",highview.home12@gmail.com,01384258502,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,23,DY1 4AD,Highview  
"Hillcroft Nursing,Home,135 High Street,Wordsley,Stourbridge,DY8 5QS",hillcroft@astleycarehomes.co.uk,01384271317,Ages 60+,"Dementia ,Learning Disability ,No Medical Intervention ,Old Age ,Physician Disability ,Younger Adults",Yes,28,DY8 5QS,Hillcroft Nursing 
"Himley Manor,133 Himley Road,Dudley,DY1 2QF",manager@himleymanor.com,01384238588,Ages 65+,"Dementia ,Eating Disorders ,Old Age ,Physical Disability ,Sensory Impairment",No,51,DY1 2QF,Himley Manor 
"Holly Hall,170 Stourbridge Road,Dudley,DY1 2ER",hollyhall@select-group.co.uk,01384252219,,,,,DY1 2ER,Holly Hall 
"Holly Lodge,9 Rectory Road,Oldswinford,Stourbridge,DY8 2HA",Info@hollylodgecarehome.co.uk,01384373306,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,23,DY8 2HA,Holly Lodge 
"Hollybush House ,John Corbett Drive,Off Vicarage Road,Stourbridge,DY8 4HZ",hollybush.house@shaw.co.uk,01384442782,Ages 65+,"Dementia ,Old Age","Yes 
(NHS 
Only)",24,DY8 4HZ,Hollybush House  
"Hollycroft Nursing,Home,8-10 Redhill,Stourbridge,DY8 1ND",manager@hollycroftcare.co.uk,01384394341,Ages 65+,"Dementia ,No Medical Intervention ,Old Age ,Physical Disability ,Sensory Impairment",Yes,37,DY8 1ND,Hollycroft Nursing 
"Island Court,55 Bourne Street,Woodsetton,Dudley,WV14 9HN",islandcourtmanager@select-group.co.uk,01902886300,65+,"Dementia ,Physical Disabilities ,Sensory Impairments",Yes,55,WV14 9HN,Island Court 
"Inshore Support,27 Highfield Road,Halesowen,B63 2DH",Ruth@inshoresupportltd.co.uk,01384410581,Not Stated,"Learning Disability ,Mental Health Condition",No,3,B63 2DH,Inshore Support 
"Inshore Support,10 Melbourne Road,Halesowen,B63 2NB",rachealpace@inshoresupportltd.co.uk,01215013389,Not Stated,Learning Disability,No,3,B63 2NB,Inshore Support 
"Jubilee Court,Central Drive,Coseley,WV14 9EJ",jubileecourt@select-group.co.uk,01902883426,Under 65,"Learning Disability ,Mental Health Condition ,Physical Disability ,Sensory Impairment",Yes,30,WV14 9EJ,Jubilee Court 
"Kathleen House,(Alphonsus),59-61 Addiison Road,Brierley Hill,DY5 3RR",kathleenhouse@alphonsusservices.co.uk,0138470187,Not Stated,"Learning Disabilities ,Physical Disability",No,15,DY5 3RR,Kathleen House 
"Kiniths House,33 Kiniths Way,Halesowen,B62 9HJ",enquiries@kinithshouse.co.uk,01215597091,18+,Learning Disability,No,15,B62 9HJ,Kiniths House 
"Lapal House,Lapal Lane South,Halesowen,B62 0ES",admin@lapalhouse.co.uk,01215030326,65+,"Old Age ,Physical Disability",No,41,B62 0ES,Lapal House 
"Links (The),252 The Broadway,Dudley,DY1 3DN",TheLinks.Manager@shaw.co.uk,01384459651,18+,"Learning Disability ,Mental Health Condition",No,5,DY1 3DN,Links (The) 
"Micron House,41 Halesowen Road,Netherton,Dudley,DY2 9QD",steph@activecareservices.co.uk,01384230504,65+,"Dementia ,Old Age",No,10,DY2 9QD,Micron House 
"Mount (The),226 Brettell Lane,Ambecote,Stourbridge,DY8 4BQ",themount226@hotmail.com,01384265955,Ages 18+,"Dementia ,Old Age",No,18,DY8 4BQ,Mount (The) 
"Nelson House,1-3 Nelson Road,Dudley,DY1 2AG",stephen.kular@nhs.net,01384237717,Ages 65+,"Dementia ,Old Age",No,21,DY1 2AG,Nelson House 
"Netherton Green,Nursing Home,Bowling Green Road,Netherton,Dudley,DY2 9LY",homemanager.nethertongreen@advinia.co.uk,01384410120,Ages 60+,"Dementia ,Old Age ,Physical Disability",Yes,120,DY2 9LY,Netherton Green 
"New Bradley Hall,Compton Drive,Off Stream Road,Kingswinford,DY6 9NP",newbradleyhall@bchg.co.uk  01384,,Ages 18+,"Dementia ,Old Age",No,66,DY6 9NP,New Bradley Hall 
"Norton Lodge,142 Norton Road,Stourbridge,DY8 2TA",nischapritchard@yahoo.com,01384376666,Ages 65+,"Old Age ,Physical Disability",No,18,DY8 2TA,Norton Lodge 
"Oak House,(Jut us Care),36 Oak Street,Central Drive,Netherton,DY2 9LJ",justuscareltd@gmail.com,01384413622,18+,"Dementia ,Eating Disorders ,Learning Disability ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,4,DY2 9LJ,Oak House 
"Oaklands,Wartell Bank,Kingswinford,DY6 7QJ",dpsahni@hotmail.co.uk,01384291070,Ages 50+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability",Yes,40,DY6 7QJ,Oaklands 
"Oakleigh Lodge,158-160 Stourbridge,Road,Dudley,DY1 2ER",admin@oakleigh-healthcare.co.uk,01384232482,18-65,"Learning Disability ,Mental Health Condition ,Physical Disability ,Sensory Impairment ,Younger Adults",No,19,DY1 2ER,Oakleigh Lodge 
"Oriel Care Home,87 Hagley Road,Stoubridge,DY8 1QY",info@orielcare.co.uk,01384375867,"Mobile 
with one 
carer  
Ages 65+","Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,29,DY8 1QY,Oriel Care Home 
"Park Lane House,163 Tipton Road,Woodsetton,Dudley,DY3 1AB",parklanehome@outlook.com,01902884967,Ages 60+,"Dementia ,Old Age",No,30,DY3 1AB,Park Lane House 
"Parkfield Grange ,(Stourbridge Care,Limited),31 Hagley Road,Stourbridge,DY8 1QH",parkfield.admin@cinnamoncc.com,01384470358,Ages 60+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults ,Alzheimer's ,Multiple Sclerosis ,Parkinson's Disease, Stroke",No,80,DY8 1QH,Parkfield Grange  
"Pathways Care Group,44 Sedgley Road,Woodsetton,Dudley,DY1 4NG",enquiries@pathways4care.co.uk,01902887630,18+,"Learning Disability ,Old Age ,Physical Disability ,Younger Adults",No,5,DY1 4NG,Pathways Care Group 
"Redbrick Court,54 High Street,Wordsley,Stourbridge,DY8 5SD",admin@sclcare.co.uk,01384485444,Ages 60+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment",No,37,DY8 5SD,Redbrick Court 
"Richmond Court,16 St James’s Road,Dudley,DY1 3JD",richmondcourtdudley@outlook.com,01384254442,"Ages from 
50 – 150","Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,21,DY1 3JD,Richmond Court 
"Ridgeway Court,2-4 Dudley Road,Sedgley,DY3 1SX",manager@ridgewaycares.co.uk,01902883130,Ages 65+,"Dementia ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,39,DY3 1SX,Ridgeway Court 
"Riverside Care,(Kingswinford) Ltd,Wolverhampton Road,Wall Heath,Kingswinford,DY6 7DA",HM@riversidecarecentre.co.uk,01384404233,18+,"Dementia ,Mental Health Condition ,Physical Disability ,Sensory Impairment ,Younger Adults",No,24,DY6 7DA,Riverside Care 
"Rosewood Care Home,139-143 High Street,Pensnett,Brierley Hill,DY5 4EA",manager@rosewoodcarehome.com,0138477441,Ages 55+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,43,DY5 4EA,Rosewood Care Home 
"Russell Court,Overfield Road,Dudley,DY1 2NY",manager@russell-court.com  0744 220,,Ages 50+  ,"Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults, Dementia",Yes,42,DY1 2NY,Russell Court 
"Safe Harbour,254 Hagley Road,Stourbridge,DY9 0RW",admin@safeharbourcare.co.uk,01562888125,"Not 
Stated",Learning Disability,No,6,DY9 0RW,Safe Harbour 
"Safe Harbour,260 Hagley Road,Stourbridge,DY9 0RW",clientadmin@safeharbourcare.com,01384885018,"Not 
Stated",Learning Disability,No,4,DY9 0RW,Safe Harbour 
"Stoneleigh House,166-168 Stourbridge,Road,Dudley,DY1 2ER",stoneleigh_house@hotmail.com,01384235590,65+,"Dementia ,Learning Disability ,Mental Health Condition ,Old Age ,Physical Disability",No,24,DY1 2ER,Stoneleigh House 
"Swiss House,41-43 Brierley Hill,Road,Wordsley,Stourbridge,DY8 5SJ",swiss.house@select-group.co.uk,01384573110,"Not 
Stated","Learning Disability ,Physical Disability ,Younger Adults",No,10,DY8 5SJ,Swiss House 
"Tudor Manor,2 Brook Street,Stourbridge,DY8 3XF",regmanager1@yahoo.com,01384379165,Ages 60+  ,"Old Age ,Physical Disability, Dementia",No,22,DY8 3XF,Tudor Manor 
"Two Gates House,40-44 Two Gates Lane,Colley Gate,Halesowen,B83 2LJ",max_wellington@outlook.com,01384567448,Ages 65+  ,"Old Age ,Physical Disability ,Sensory Impairment, Dementia",No,32,B83 2LJ,Two Gates House 
"Victoria Lodge,Bent Street,Brierley Hill,DY5 2RB",victoriamanager@select-group.co.uk,01384572567,Ages 65+  ,"Old Age ,Sensory Impairment, Dementia",No,63,DY5 2RB,Victoria Lodge 
"Village Nursing Home,(The),190 Commonside,Brierley Hill,DY5 4AA",kerryjackson@thevillagenursinghome.co.uk,01384884499,Ages 50+  ,"Mental Health Condition ,Old Age ,Physical Disability ,Younger Adults, Dementia",Yes,90,DY5 4AA,Village Nursing Home 
"Woodlands Gate Rest,Home,12 Dingle Road,Pedmore ,Stourbridge,DY9 0RS",woodlands@sclcare.co.uk,01562885546,Ages 60+  ,"Old Age ,Physical Disability ,Sensory Impairment, Dementia",No,20,DY9 0RS,Woodlands Gate Rest 
"Woodview House,Nursing Home,Waugh Drive,Hagley Road,Hayley Green,Haleowen,B63 1EN",woodview@shaw.co.uk,01215856440,Ages 65+  ,"C,Mental Health Condition ,Old Age ,CG Commissioned Placements ,ONLY, Dementia",Yes,24,B63 1EN,Woodview House 
"Wordsley Hall,Mill Street,Wordsley,Stourbridge,DY8 5SX",manager.wordsleyhall@minstercaregroup.co.uk,01384571606,Ages 65+  ,"Old Age, Dementia",No,41,DY8 5SX,Wordsley Hall 
"Wychbury Care Home,350-352 Hagley Road,Pedmore,Stourbridge,DY9 0QY",daniel@wychcare.com,01562885106,Ages 65+  ,", Old Age",No,42,DY9 0QY,Wychbury Care Home 
"Wyncroft House,16 Moss Grove,Kingswinford,DY6 9HU",manager@wyncrofthouse.co.uk,01384291688,Ages 65+  ,"Old Age, Dementia",Yes,38,DY6 9HU,Wyncroft House 
